occupation,industry,year,employment
Managers & Administrators (Including Working Proprietors),Services,2023,309.7
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2023,76.6
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2023,18
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2023,9.7
Managers & Administrators (Including Working Proprietors),Information & Communications,2023,32.9
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2023,60.4
Managers & Administrators (Including Working Proprietors),Real Estate Services,2023,8.9
Managers & Administrators (Including Working Proprietors),Professional Services,2023,38.3
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2023,12.2
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2023,31.1
Managers & Administrators (Including Working Proprietors),Health & Social Services,2023,9.8
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2023,4.6
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2023,7.4
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2023,3.1
Professionals,All Industries,2023,620.6
Professionals,Manufacturing,2023,56.1
Professionals,Construction,2023,18.5
Professionals,Services,2023,540.8
Professionals,Wholesale & Retail Trade,2023,59.6
Professionals,Transportation & Storage,2023,18
Professionals,Accommodation & Food Services,2023,3.4
Professionals,Information & Communications,2023,65.7
Professionals,Financial & Insurance Services,2023,94.6
Professionals,Real Estate Services,2023,4.8
Professionals,Professional Services,2023,85.8
Professionals,Administrative & Support Services,2023,12.9
Professionals,Public Administration & Education Services,2023,112.4
Professionals,Health & Social Services,2023,68
Professionals,"Arts, Entertainment & Recreation",2023,4.9
Professionals,"Other Community, Social & Personal Services",2023,10.9
Professionals,Other Industries Nes,2023,5.2
Associate Professionals & Technicians,All Industries,2023,482.5
Associate Professionals & Technicians,Manufacturing,2023,50.9
Associate Professionals & Technicians,Construction,2023,20.3
Associate Professionals & Technicians,Services,2023,405.5
Associate Professionals & Technicians,Wholesale & Retail Trade,2023,65
Associate Professionals & Technicians,Transportation & Storage,2023,39.5
Associate Professionals & Technicians,Accommodation & Food Services,2023,15.4
Associate Professionals & Technicians,Information & Communications,2023,23.6
Associate Professionals & Technicians,Financial & Insurance Services,2023,47
Associate Professionals & Technicians,Real Estate Services,2023,26.6
Associate Professionals & Technicians,Professional Services,2023,46.1
Associate Professionals & Technicians,Administrative & Support Services,2023,15.5
Associate Professionals & Technicians,Public Administration & Education Services,2023,65
Associate Professionals & Technicians,Health & Social Services,2023,39.7
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2023,10
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2023,12.1
Associate Professionals & Technicians,Other Industries Nes,2023,5.7
Clerical Support Workers,All Industries,2023,207.8
Clerical Support Workers,Manufacturing,2023,20.7
Clerical Support Workers,Construction,2023,11
Clerical Support Workers,Services,2023,175
Clerical Support Workers,Wholesale & Retail Trade,2023,32.5
Clerical Support Workers,Transportation & Storage,2023,22.3
Clerical Support Workers,Accommodation & Food Services,2023,9
Clerical Support Workers,Information & Communications,2023,7
Clerical Support Workers,Financial & Insurance Services,2023,22
Clerical Support Workers,Real Estate Services,2023,4.9
Clerical Support Workers,Professional Services,2023,17.6
Clerical Support Workers,Administrative & Support Services,2023,12.8
Clerical Support Workers,Public Administration & Education Services,2023,15.9
Clerical Support Workers,Health & Social Services,2023,17.8
Clerical Support Workers,"Arts, Entertainment & Recreation",2023,4.7
Clerical Support Workers,"Other Community, Social & Personal Services",2023,8.6
Clerical Support Workers,Other Industries Nes,2023,1.2
Service & Sales Workers,All Industries,2023,257.9
Service & Sales Workers,Manufacturing,2023,8.4
Service & Sales Workers,Construction,2023,1.4
Service & Sales Workers,Services,2023,247.4
Service & Sales Workers,Wholesale & Retail Trade,2023,61.6
Service & Sales Workers,Transportation & Storage,2023,10.5
Service & Sales Workers,Accommodation & Food Services,2023,64.9
Service & Sales Workers,Information & Communications,2023,1.9
Service & Sales Workers,Financial & Insurance Services,2023,5.2
Service & Sales Workers,Real Estate Services,2023,3.3
Service & Sales Workers,Professional Services,2023,3.3
Service & Sales Workers,Administrative & Support Services,2023,29.9
Service & Sales Workers,Public Administration & Education Services,2023,17.3
Service & Sales Workers,Health & Social Services,2023,21.4
Service & Sales Workers,"Arts, Entertainment & Recreation",2023,8.5
Service & Sales Workers,"Other Community, Social & Personal Services",2023,19.5
Service & Sales Workers,Other Industries Nes,2023,0.7
Craftsmen & Related Trades Workers,All Industries,2023,58.8
Craftsmen & Related Trades Workers,Manufacturing,2023,15.9
Craftsmen & Related Trades Workers,Construction,2023,14.3
Craftsmen & Related Trades Workers,Services,2023,27.6
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2023,10.6
Craftsmen & Related Trades Workers,Transportation & Storage,2023,2
Craftsmen & Related Trades Workers,Accommodation & Food Services,2023,1.5
Craftsmen & Related Trades Workers,Information & Communications,2023,0.8
Craftsmen & Related Trades Workers,Financial & Insurance Services,2023,1
Craftsmen & Related Trades Workers,Real Estate Services,2023,1.1
Craftsmen & Related Trades Workers,Professional Services,2023,2.7
Craftsmen & Related Trades Workers,Administrative & Support Services,2023,2.6
Craftsmen & Related Trades Workers,Public Administration & Education Services,2023,0.7
Craftsmen & Related Trades Workers,Health & Social Services,2023,0.1
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2023,0.4
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2023,4
Craftsmen & Related Trades Workers,Other Industries Nes,2023,1
Plant & Machine Operators & Assemblers,All Industries,2023,132
Plant & Machine Operators & Assemblers,Manufacturing,2023,11.8
Plant & Machine Operators & Assemblers,Construction,2023,4.2
Plant & Machine Operators & Assemblers,Services,2023,115
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2023,12.7
Plant & Machine Operators & Assemblers,Transportation & Storage,2023,87.7
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2023,2.3
Plant & Machine Operators & Assemblers,Information & Communications,2023,1.6
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2023,1.7
Plant & Machine Operators & Assemblers,Real Estate Services,2023,0.4
Plant & Machine Operators & Assemblers,Professional Services,2023,2.3
Plant & Machine Operators & Assemblers,Administrative & Support Services,2023,2.3
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2023,0.7
Plant & Machine Operators & Assemblers,Health & Social Services,2023,1.1
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2023,0.4
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2023,1.9
Plant & Machine Operators & Assemblers,Other Industries Nes,2023,1
"Cleaners, Labourers & Related Workers",All Industries,2023,162.1
"Cleaners, Labourers & Related Workers",Manufacturing,2023,11.2
"Cleaners, Labourers & Related Workers",Construction,2023,4.3
"Cleaners, Labourers & Related Workers",Services,2023,143.9
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2023,16.5
"Cleaners, Labourers & Related Workers",Transportation & Storage,2023,16.3
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2023,33.4
"Cleaners, Labourers & Related Workers",Information & Communications,2023,2.3
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2023,4.3
"Cleaners, Labourers & Related Workers",Real Estate Services,2023,7.2
"Cleaners, Labourers & Related Workers",Professional Services,2023,3.7
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2023,35.3
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2023,5.5
"Cleaners, Labourers & Related Workers",Health & Social Services,2023,10.4
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2023,2.1
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2023,6.8
"Cleaners, Labourers & Related Workers",Other Industries Nes,2023,2.7
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2023,60.7
"Cleaners, Labourers & Related Workers",Manufacturing,2023,0
"Cleaners, Labourers & Related Workers",Construction,2023,0
"Cleaners, Labourers & Related Workers",Services,2023,60
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2023,0.7
"Cleaners, Labourers & Related Workers",Transportation & Storage,2023,0.1
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2023,0
"Cleaners, Labourers & Related Workers",Information & Communications,2023,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2023,0.1
"Cleaners, Labourers & Related Workers",Real Estate Services,2023,0.1
"Cleaners, Labourers & Related Workers",Professional Services,2023,0.1
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2023,1.6
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2023,57
"Cleaners, Labourers & Related Workers",Health & Social Services,2023,0
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2023,0.1
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2023,0.2
"Cleaners, Labourers & Related Workers",Other Industries Nes,2023,0.7
"All Occupation Groups, (Total Employed Residents)",All Industries,2022,2350.4
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2022,224.9
