occupation,industry,year,employment
Clerical Support Workers,Real Estate Services,2011,6.3
Clerical Support Workers,Professional Services,2011,20.4
Clerical Support Workers,Administrative & Support Services,2011,12.5
Clerical Support Workers,Public Administration & Education Services,2011,24.2
Clerical Support Workers,Health & Social Services,2011,17.6
Clerical Support Workers,"Arts, Entertainment & Recreation",2011,5
Clerical Support Workers,"Other Community, Social & Personal Services",2011,6.8
Clerical Support Workers,Other Industries Nes,2011,2.5
Service & Sales Workers,All Industries,2011,234.8
Service & Sales Workers,Manufacturing,2011,4.3
Service & Sales Workers,Construction,2011,0.8
Service & Sales Workers,Services,2011,229.7
Service & Sales Workers,Wholesale & Retail Trade,2011,92.8
Service & Sales Workers,Transportation & Storage,2011,11.8
Service & Sales Workers,Accommodation & Food Services,2011,48
Service & Sales Workers,Information & Communications,2011,1.1
Service & Sales Workers,Financial & Insurance Services,2011,1.2
Service & Sales Workers,Real Estate Services,2011,0.9
Service & Sales Workers,Professional Services,2011,1
Service & Sales Workers,Administrative & Support Services,2011,21.7
Service & Sales Workers,Public Administration & Education Services,2011,15.3
Service & Sales Workers,Health & Social Services,2011,7
Service & Sales Workers,"Arts, Entertainment & Recreation",2011,10.2
Service & Sales Workers,"Other Community, Social & Personal Services",2011,18.8
Service & Sales Workers,Other Industries Nes,2011,0
Craftsmen & Related Trades Workers,All Industries,2011,89.5
Craftsmen & Related Trades Workers,Manufacturing,2011,33.3
Craftsmen & Related Trades Workers,Construction,2011,26.7
Craftsmen & Related Trades Workers,Services,2011,27.6
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2011,5.3
Craftsmen & Related Trades Workers,Transportation & Storage,2011,2.9
Craftsmen & Related Trades Workers,Accommodation & Food Services,2011,1.1
Craftsmen & Related Trades Workers,Information & Communications,2011,1.1
Craftsmen & Related Trades Workers,Financial & Insurance Services,2011,0.1
Craftsmen & Related Trades Workers,Real Estate Services,2011,1.5
Craftsmen & Related Trades Workers,Professional Services,2011,2
Craftsmen & Related Trades Workers,Administrative & Support Services,2011,3.2
Craftsmen & Related Trades Workers,Public Administration & Education Services,2011,0.3
Craftsmen & Related Trades Workers,Health & Social Services,2011,0.2
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2011,0.5
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2011,9.2
Craftsmen & Related Trades Workers,Other Industries Nes,2011,1.8
Plant & Machine Operators & Assemblers,All Industries,2011,157.5
Plant & Machine Operators & Assemblers,Manufacturing,2011,44.9
Plant & Machine Operators & Assemblers,Construction,2011,8.1
Plant & Machine Operators & Assemblers,Services,2011,102.6
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2011,12.7
Plant & Machine Operators & Assemblers,Transportation & Storage,2011,76.6
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2011,2.5
Plant & Machine Operators & Assemblers,Information & Communications,2011,0.3
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2011,0.8
Plant & Machine Operators & Assemblers,Real Estate Services,2011,0.3
Plant & Machine Operators & Assemblers,Professional Services,2011,1.6
Plant & Machine Operators & Assemblers,Administrative & Support Services,2011,2.8
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2011,0.3
Plant & Machine Operators & Assemblers,Health & Social Services,2011,1
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2011,0.3
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2011,3.6
Plant & Machine Operators & Assemblers,Other Industries Nes,2011,1.9
"Cleaners, Labourers & Related Workers",All Industries,2011,145.7
"Cleaners, Labourers & Related Workers",Manufacturing,2011,9.9
"Cleaners, Labourers & Related Workers",Construction,2011,5.3
"Cleaners, Labourers & Related Workers",Services,2011,128.2
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2011,11.9
"Cleaners, Labourers & Related Workers",Transportation & Storage,2011,11.1
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2011,47.9
"Cleaners, Labourers & Related Workers",Information & Communications,2011,0.6
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2011,0.6
"Cleaners, Labourers & Related Workers",Real Estate Services,2011,1.5
"Cleaners, Labourers & Related Workers",Professional Services,2011,2.1
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2011,32
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2011,5.4
"Cleaners, Labourers & Related Workers",Health & Social Services,2011,4.2
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2011,2.9
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2011,8
"Cleaners, Labourers & Related Workers",Other Industries Nes,2011,2.2
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2011,69.6
"Cleaners, Labourers & Related Workers",Manufacturing,2011,0
"Cleaners, Labourers & Related Workers",Construction,2011,0
"Cleaners, Labourers & Related Workers",Services,2011,69.1
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2011,0.1
"Cleaners, Labourers & Related Workers",Transportation & Storage,2011,0.1
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2011,0
"Cleaners, Labourers & Related Workers",Information & Communications,2011,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2011,0
"Cleaners, Labourers & Related Workers",Real Estate Services,2011,0
"Cleaners, Labourers & Related Workers",Professional Services,2011,0
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2011,0
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2011,68.7
"Cleaners, Labourers & Related Workers",Health & Social Services,2011,0
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2011,0.2
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2011,0
"Cleaners, Labourers & Related Workers",Other Industries Nes,2011,0.5
"All Occupation Groups, (Total Employed Residents)",All Industries,2010,1962.9
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2010,291.4
"All Occupation Groups, (Total Employed Residents)",Construction,2010,104
"All Occupation Groups, (Total Employed Residents)",Services,2010,1530
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2010,281.7
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2010,191.3
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2010,128.9
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2010,100.5
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2010,126
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2010,40.2
"All Occupation Groups, (Total Employed Residents)",Professional Services,2010,112.5
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2010,100.1
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2010,266.7
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2010,83.3
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2010,32.9
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2010,65.8
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2010,37.5
Managers & Administrators (Including Working Proprietors),All Industries,2010,352.4
Managers & Administrators (Including Working Proprietors),Manufacturing,2010,60.9
Managers & Administrators (Including Working Proprietors),Construction,2010,24.9
Managers & Administrators (Including Working Proprietors),Services,2010,260.5
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2010,80.7
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2010,22.1
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2010,15.3
Managers & Administrators (Including Working Proprietors),Information & Communications,2010,32.9
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2010,32.5
Managers & Administrators (Including Working Proprietors),Real Estate Services,2010,8.1
Managers & Administrators (Including Working Proprietors),Professional Services,2010,20.2
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2010,11.6
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2010,19.2
Managers & Administrators (Including Working Proprietors),Health & Social Services,2010,6.7
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2010,4.3
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2010,6.9
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2010,6
Professionals,All Industries,2010,375.7
Professionals,Manufacturing,2010,62.6
Professionals,Construction,2010,16.5
Professionals,Services,2010,289.2
Professionals,Wholesale & Retail Trade,2010,21.3
Professionals,Transportation & Storage,2010,14.4
Professionals,Accommodation & Food Services,2010,1.7
Professionals,Information & Communications,2010,37.9
Professionals,Financial & Insurance Services,2010,40.8
Professionals,Real Estate Services,2010,2.8
Professionals,Professional Services,2010,46.1
Professionals,Administrative & Support Services,2010,5.7
Professionals,Public Administration & Education Services,2010,73.3
Professionals,Health & Social Services,2010,36
Professionals,"Arts, Entertainment & Recreation",2010,4.9
Professionals,"Other Community, Social & Personal Services",2010,4.4
Professionals,Other Industries Nes,2010,7.3
Associate Professionals & Technicians,All Industries,2010,303.4
Associate Professionals & Technicians,Manufacturing,2010,53.4
Associate Professionals & Technicians,Construction,2010,11.1
Associate Professionals & Technicians,Services,2010,230.3
Associate Professionals & Technicians,Wholesale & Retail Trade,2010,21.4
Associate Professionals & Technicians,Transportation & Storage,2010,24.7
Associate Professionals & Technicians,Accommodation & Food Services,2010,9.2
Associate Professionals & Technicians,Information & Communications,2010,13.9
Associate Professionals & Technicians,Financial & Insurance Services,2010,23.3
Associate Professionals & Technicians,Real Estate Services,2010,20.6
Associate Professionals & Technicians,Professional Services,2010,21.2
Associate Professionals & Technicians,Administrative & Support Services,2010,8.6
Associate Professionals & Technicians,Public Administration & Education Services,2010,58.4
Associate Professionals & Technicians,Health & Social Services,2010,14.6
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2010,6.1
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2010,8.4
Associate Professionals & Technicians,Other Industries Nes,2010,8.6
Clerical Support Workers,All Industries,2010,243.6
Clerical Support Workers,Manufacturing,2010,30.3
Clerical Support Workers,Construction,2010,11.5
Clerical Support Workers,Services,2010,197.1
Clerical Support Workers,Wholesale & Retail Trade,2010,34.6
Clerical Support Workers,Transportation & Storage,2010,32.3
Clerical Support Workers,Accommodation & Food Services,2010,6.2
Clerical Support Workers,Information & Communications,2010,10.6
Clerical Support Workers,Financial & Insurance Services,2010,26.8
Clerical Support Workers,Real Estate Services,2010,5.4
Clerical Support Workers,Professional Services,2010,18.4
Clerical Support Workers,Administrative & Support Services,2010,13.9
Clerical Support Workers,Public Administration & Education Services,2010,23
Clerical Support Workers,Health & Social Services,2010,14.6
Clerical Support Workers,"Arts, Entertainment & Recreation",2010,4.3
Clerical Support Workers,"Other Community, Social & Personal Services",2010,7.1
Clerical Support Workers,Other Industries Nes,2010,4.7
Service & Sales Workers,All Industries,2010,234.5
Service & Sales Workers,Manufacturing,2010,4.2
Service & Sales Workers,Construction,2010,0.4
Service & Sales Workers,Services,2010,229.5
Service & Sales Workers,Wholesale & Retail Trade,2010,92.4
Service & Sales Workers,Transportation & Storage,2010,10.8
Service & Sales Workers,Accommodation & Food Services,2010,45
Service & Sales Workers,Information & Communications,2010,1.8
Service & Sales Workers,Financial & Insurance Services,2010,0.8
Service & Sales Workers,Real Estate Services,2010,0.9
Service & Sales Workers,Professional Services,2010,0.9
Service & Sales Workers,Administrative & Support Services,2010,21.9
Service & Sales Workers,Public Administration & Education Services,2010,18.2
Service & Sales Workers,Health & Social Services,2010,6.5
Service & Sales Workers,"Arts, Entertainment & Recreation",2010,10.1
Service & Sales Workers,"Other Community, Social & Personal Services",2010,20
Service & Sales Workers,Other Industries Nes,2010,0.5
Craftsmen & Related Trades Workers,All Industries,2010,86.5
Craftsmen & Related Trades Workers,Manufacturing,2010,29
Craftsmen & Related Trades Workers,Construction,2010,26.2
Craftsmen & Related Trades Workers,Services,2010,28.5
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2010,6
Craftsmen & Related Trades Workers,Transportation & Storage,2010,3
Craftsmen & Related Trades Workers,Accommodation & Food Services,2010,1.4
Craftsmen & Related Trades Workers,Information & Communications,2010,1.4
Craftsmen & Related Trades Workers,Financial & Insurance Services,2010,0.1
Craftsmen & Related Trades Workers,Real Estate Services,2010,0.5
Craftsmen & Related Trades Workers,Professional Services,2010,2
Craftsmen & Related Trades Workers,Administrative & Support Services,2010,4.3
Craftsmen & Related Trades Workers,Public Administration & Education Services,2010,0.9
Craftsmen & Related Trades Workers,Health & Social Services,2010,0.2
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2010,0.2
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2010,8.5
Craftsmen & Related Trades Workers,Other Industries Nes,2010,3
Plant & Machine Operators & Assemblers,All Industries,2010,152.7
Plant & Machine Operators & Assemblers,Manufacturing,2010,41.2
Plant & Machine Operators & Assemblers,Construction,2010,7.7
Plant & Machine Operators & Assemblers,Services,2010,100.3
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2010,13.3
Plant & Machine Operators & Assemblers,Transportation & Storage,2010,71.5
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2010,3.1
Plant & Machine Operators & Assemblers,Information & Communications,2010,1
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2010,0.7
Plant & Machine Operators & Assemblers,Real Estate Services,2010,0.2
Plant & Machine Operators & Assemblers,Professional Services,2010,2.3
Plant & Machine Operators & Assemblers,Administrative & Support Services,2010,2.9
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2010,0.8
Plant & Machine Operators & Assemblers,Health & Social Services,2010,0.8
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2010,0.4
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2010,3.2
Plant & Machine Operators & Assemblers,Other Industries Nes,2010,3.5
"Cleaners, Labourers & Related Workers",All Industries,2010,145.5
"Cleaners, Labourers & Related Workers",Manufacturing,2010,9.8
"Cleaners, Labourers & Related Workers",Construction,2010,5.6
"Cleaners, Labourers & Related Workers",Services,2010,127.2
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2010,11.5
"Cleaners, Labourers & Related Workers",Transportation & Storage,2010,12.4
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2010,47.1
"Cleaners, Labourers & Related Workers",Information & Communications,2010,1
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2010,0.9
"Cleaners, Labourers & Related Workers",Real Estate Services,2010,1.6
"Cleaners, Labourers & Related Workers",Professional Services,2010,1.6
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2010,31.2
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2010,6.3
"Cleaners, Labourers & Related Workers",Health & Social Services,2010,3.9
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2010,2.4
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2010,7.3
"Cleaners, Labourers & Related Workers",Other Industries Nes,2010,2.9
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2010,68.7
"Cleaners, Labourers & Related Workers",Manufacturing,2010,0
"Cleaners, Labourers & Related Workers",Construction,2010,0.1
"Cleaners, Labourers & Related Workers",Services,2010,67.6
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2010,0.5
"Cleaners, Labourers & Related Workers",Transportation & Storage,2010,0.1
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2010,0
"Cleaners, Labourers & Related Workers",Information & Communications,2010,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2010,0
"Cleaners, Labourers & Related Workers",Real Estate Services,2010,0
"Cleaners, Labourers & Related Workers",Professional Services,2010,0
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2010,0
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2010,66.8
"Cleaners, Labourers & Related Workers",Health & Social Services,2010,0
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2010,0.1
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2010,0
"Cleaners, Labourers & Related Workers",Other Industries Nes,2010,0.9
"All Occupation Groups, (Total Employed Residents)",All Industries,2009,1869.4
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2009,293.6
"All Occupation Groups, (Total Employed Residents)",Construction,2009,113.8
"All Occupation Groups, (Total Employed Residents)",Services,2009,1441.2
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2009,272.4
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2009,179.9
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2009,124.9
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2009,94.3
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2009,121.9
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2009,45
"All Occupation Groups, (Total Employed Residents)",Professional Services,2009,109.6
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2009,88.7
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2009,236.3
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2009,76.9
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2009,22.6
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2009,68.7
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2009,20.8
Managers & Administrators (Including Working Proprietors),All Industries,2009,310.8
Managers & Administrators (Including Working Proprietors),Manufacturing,2009,55.1
Managers & Administrators (Including Working Proprietors),Construction,2009,26.3
Managers & Administrators (Including Working Proprietors),Services,2009,226.1
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2009,71.7
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2009,20.3
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2009,12.1
Managers & Administrators (Including Working Proprietors),Information & Communications,2009,26.4
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2009,23.6
Managers & Administrators (Including Working Proprietors),Real Estate Services,2009,7.5
Managers & Administrators (Including Working Proprietors),Professional Services,2009,22.9
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2009,11
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2009,12.8
Managers & Administrators (Including Working Proprietors),Health & Social Services,2009,4.6
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2009,2.4
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2009,11
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2009,3.3
Professionals,All Industries,2009,341.8
Professionals,Manufacturing,2009,58
Professionals,Construction,2009,14.6
Professionals,Services,2009,266.4
Professionals,Wholesale & Retail Trade,2009,18.4
Professionals,Transportation & Storage,2009,10.3
Professionals,Accommodation & Food Services,2009,1.2
Professionals,Information & Communications,2009,40.6
Professionals,Financial & Insurance Services,2009,37.8
Professionals,Real Estate Services,2009,3.3
Professionals,Professional Services,2009,46.4
Professionals,Administrative & Support Services,2009,4.1
Professionals,Public Administration & Education Services,2009,65.2
Professionals,Health & Social Services,2009,30.7
Professionals,"Arts, Entertainment & Recreation",2009,2.7
Professionals,"Other Community, Social & Personal Services",2009,5.7
Professionals,Other Industries Nes,2009,2.8
Associate Professionals & Technicians,All Industries,2009,309.8
Associate Professionals & Technicians,Manufacturing,2009,57.3
Associate Professionals & Technicians,Construction,2009,12.6
Associate Professionals & Technicians,Services,2009,233.9
Associate Professionals & Technicians,Wholesale & Retail Trade,2009,29.1
Associate Professionals & Technicians,Transportation & Storage,2009,21
Associate Professionals & Technicians,Accommodation & Food Services,2009,4.3
Associate Professionals & Technicians,Information & Communications,2009,13.3
Associate Professionals & Technicians,Financial & Insurance Services,2009,35.1
Associate Professionals & Technicians,Real Estate Services,2009,21.7
Associate Professionals & Technicians,Professional Services,2009,19.9
Associate Professionals & Technicians,Administrative & Support Services,2009,8
Associate Professionals & Technicians,Public Administration & Education Services,2009,54.5
Associate Professionals & Technicians,Health & Social Services,2009,14.6
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2009,6.3
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2009,6.1
Associate Professionals & Technicians,Other Industries Nes,2009,6
Clerical Support Workers,All Industries,2009,236.5
Clerical Support Workers,Manufacturing,2009,31.2
Clerical Support Workers,Construction,2009,12.5
Clerical Support Workers,Services,2009,190.6
Clerical Support Workers,Wholesale & Retail Trade,2009,36.5
Clerical Support Workers,Transportation & Storage,2009,30.2
Clerical Support Workers,Accommodation & Food Services,2009,6.2
Clerical Support Workers,Information & Communications,2009,10.5
Clerical Support Workers,Financial & Insurance Services,2009,22.6
Clerical Support Workers,Real Estate Services,2009,6.2
Clerical Support Workers,Professional Services,2009,15.5
Clerical Support Workers,Administrative & Support Services,2009,14.1
Clerical Support Workers,Public Administration & Education Services,2009,22.1
Clerical Support Workers,Health & Social Services,2009,15.6
Clerical Support Workers,"Arts, Entertainment & Recreation",2009,3.4
Clerical Support Workers,"Other Community, Social & Personal Services",2009,7.7
Clerical Support Workers,Other Industries Nes,2009,2.2
Service & Sales Workers,All Industries,2009,218.9
Service & Sales Workers,Manufacturing,2009,2.8
Service & Sales Workers,Construction,2009,0.6
Service & Sales Workers,Services,2009,215.3
Service & Sales Workers,Wholesale & Retail Trade,2009,86
Service & Sales Workers,Transportation & Storage,2009,10.6
Service & Sales Workers,Accommodation & Food Services,2009,50.6
Service & Sales Workers,Information & Communications,2009,1.1
Service & Sales Workers,Financial & Insurance Services,2009,0.8
Service & Sales Workers,Real Estate Services,2009,1.2
Service & Sales Workers,Professional Services,2009,0.6
Service & Sales Workers,Administrative & Support Services,2009,21.7
Service & Sales Workers,Public Administration & Education Services,2009,13.3
Service & Sales Workers,Health & Social Services,2009,4.8
Service & Sales Workers,"Arts, Entertainment & Recreation",2009,4.6
Service & Sales Workers,"Other Community, Social & Personal Services",2009,20
Service & Sales Workers,Other Industries Nes,2009,0.2
Craftsmen & Related Trades Workers,All Industries,2009,88.8
Craftsmen & Related Trades Workers,Manufacturing,2009,32.1
Craftsmen & Related Trades Workers,Construction,2009,29.8
Craftsmen & Related Trades Workers,Services,2009,25.6
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2009,5.2
Craftsmen & Related Trades Workers,Transportation & Storage,2009,3.6
Craftsmen & Related Trades Workers,Accommodation & Food Services,2009,1.3
Craftsmen & Related Trades Workers,Information & Communications,2009,1.2
Craftsmen & Related Trades Workers,Financial & Insurance Services,2009,0.2
Craftsmen & Related Trades Workers,Real Estate Services,2009,1.3
Craftsmen & Related Trades Workers,Professional Services,2009,1.5
Craftsmen & Related Trades Workers,Administrative & Support Services,2009,1.9
Craftsmen & Related Trades Workers,Public Administration & Education Services,2009,0.4
Craftsmen & Related Trades Workers,Health & Social Services,2009,0.1
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2009,0.4
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2009,8.6
Craftsmen & Related Trades Workers,Other Industries Nes,2009,1.3
Plant & Machine Operators & Assemblers,All Industries,2009,158.4
Plant & Machine Operators & Assemblers,Manufacturing,2009,46.9
Plant & Machine Operators & Assemblers,Construction,2009,9.6
Plant & Machine Operators & Assemblers,Services,2009,100.5
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2009,14
Plant & Machine Operators & Assemblers,Transportation & Storage,2009,73.7
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2009,2.7
Plant & Machine Operators & Assemblers,Information & Communications,2009,0.6
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2009,0.7
Plant & Machine Operators & Assemblers,Real Estate Services,2009,0.2
Plant & Machine Operators & Assemblers,Professional Services,2009,1.5
Plant & Machine Operators & Assemblers,Administrative & Support Services,2009,2.3
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2009,0.6
Plant & Machine Operators & Assemblers,Health & Social Services,2009,0.9
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2009,0.4
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2009,2.9
Plant & Machine Operators & Assemblers,Other Industries Nes,2009,1.4
"Cleaners, Labourers & Related Workers",All Industries,2009,141
"Cleaners, Labourers & Related Workers",Manufacturing,2009,10.4
"Cleaners, Labourers & Related Workers",Construction,2009,7.9
"Cleaners, Labourers & Related Workers",Services,2009,120.3
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2009,11.4
"Cleaners, Labourers & Related Workers",Transportation & Storage,2009,10.4
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2009,46.5
"Cleaners, Labourers & Related Workers",Information & Communications,2009,0.7
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2009,1
"Cleaners, Labourers & Related Workers",Real Estate Services,2009,3.8
"Cleaners, Labourers & Related Workers",Professional Services,2009,1.3
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2009,25.6
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2009,5.6
"Cleaners, Labourers & Related Workers",Health & Social Services,2009,5.4
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2009,2
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2009,6.7
"Cleaners, Labourers & Related Workers",Other Industries Nes,2009,2.4
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2009,63.5
"Cleaners, Labourers & Related Workers",Manufacturing,2009,0
"Cleaners, Labourers & Related Workers",Construction,2009,0
"Cleaners, Labourers & Related Workers",Services,2009,62.4
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2009,0
"Cleaners, Labourers & Related Workers",Transportation & Storage,2009,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2009,0
"Cleaners, Labourers & Related Workers",Information & Communications,2009,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2009,0
"Cleaners, Labourers & Related Workers",Real Estate Services,2009,0
"Cleaners, Labourers & Related Workers",Professional Services,2009,0
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2009,0
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2009,62
"Cleaners, Labourers & Related Workers",Health & Social Services,2009,0
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2009,0.3
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2009,0
"Cleaners, Labourers & Related Workers",Other Industries Nes,2009,1
"All Occupation Groups, (Total Employed Residents)",All Industries,2008,1852
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2008,311.9
"All Occupation Groups, (Total Employed Residents)",Construction,2008,105.5
"All Occupation Groups, (Total Employed Residents)",Services,2008,1412
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2008,269.5
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2008,182.4
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2008,120
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2008,87
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2008,123.6
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2008,40.8
"All Occupation Groups, (Total Employed Residents)",Professional Services,2008,109.6
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2008,87.2
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2008,228.5
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2008,74.3
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2008,21.1
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2008,68
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2008,22.7
Managers & Administrators (Including Working Proprietors),All Industries,2008,303.3
Managers & Administrators (Including Working Proprietors),Manufacturing,2008,57.1
Managers & Administrators (Including Working Proprietors),Construction,2008,24.8
Managers & Administrators (Including Working Proprietors),Services,2008,218
